Doc&Category, Element ID, Porperty, Number Value,String Value 
8,939645,面积@1,32.4,
8,939645,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939645,体积@1,22.97,
8,939645,类型@-1,,18"
8,939645,长度@1,14,
8,939645,族与类型@-1,,18"
8,939645,类型名称@0,,18"
8,939645,部件代码@0,,B10
8,939645,横断面形状@12,0,
8,939645,b@1,1.5,
8,939647,体积@1,22.97,
8,939647,随轴网移动@19,1,
8,939647,顶部偏移@19,0,
8,939647,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939647,长度@1,14,
8,939647,标高@19,,L7
8,939647,创建的阶段@14,,New Construction
8,939647,底部偏移@19,0,
8,939647,类型 ID@-1,,18"
8,939647,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939647,顶部标高@19,,L8
8,939647,类型@-1,,18"
8,939647,底部标高@19,,L7
8,939647,族与类型@-1,,18"
8,939647,族@-1,,18"
8,939647,柱定位标记@19,,G-4
8,939647,面积@1,32.39,
8,939647,柱样式@19,0,
8,939647,启用分析模型@12,1,
8,939647,类型名称@0,,18"
8,939647,部件代码@0,,B10
8,939647,横断面形状@12,0,
8,939647,b@1,1.5,
8,939649,体积@1,22.97,
8,939649,类型 ID@-1,,18"
8,939649,顶部标高@19,,L8
8,939649,柱样式@19,0,
8,939649,底部偏移@19,0,
8,939649,启用分析模型@12,1,
8,939649,顶部偏移@19,0,
8,939649,族@-1,,18"
8,939649,柱定位标记@19,,G-3
8,939649,族与类型@-1,,18"
8,939649,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939649,底部标高@19,,L7
8,939649,面积@1,32.4,
8,939649,标高@19,,L7
8,939649,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939649,长度@1,14,
8,939649,创建的阶段@14,,New Construction
8,939649,类型@-1,,18"
8,939649,随轴网移动@19,1,
8,939649,类型名称@0,,18"
8,939649,部件代码@0,,B10
8,939649,横断面形状@12,0,
8,939649,b@1,1.5,
8,939651,柱定位标记@19,,G-2
8,939651,底部标高@19,,L7
8,939651,柱样式@19,0,
8,939651,随轴网移动@19,1,
8,939651,创建的阶段@14,,New Construction
8,939651,类型@-1,,18"
8,939651,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939651,长度@1,14,
8,939651,体积@1,22.97,
8,939651,标高@19,,L7
8,939651,族@-1,,18"
8,939651,底部偏移@19,0,
8,939651,族与类型@-1,,18"
8,939651,顶部偏移@19,0,
8,939651,面积@1,32.4,
8,939651,顶部标高@19,,L8
8,939651,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939651,类型 ID@-1,,18"
8,939651,启用分析模型@12,1,
8,939651,类型名称@0,,18"
8,939651,部件代码@0,,B10
8,939651,横断面形状@12,0,
8,939651,b@1,1.5,
8,939653,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939653,随轴网移动@19,1,
8,939653,面积@1,32.4,
8,939653,类型@-1,,18"
8,939653,体积@1,22.97,
8,939653,底部标高@19,,L7
8,939653,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939653,柱样式@19,0,
8,939653,顶部标高@19,,L8
8,939653,类型 ID@-1,,18"
8,939653,启用分析模型@12,1,
8,939653,标高@19,,L7
8,939653,族与类型@-1,,18"
8,939653,族@-1,,18"
8,939653,底部偏移@19,0,
8,939653,顶部偏移@19,0,
8,939653,长度@1,14,
8,939653,创建的阶段@14,,New Construction
8,939653,柱定位标记@19,,F-5
8,939653,类型名称@0,,18"
8,939653,部件代码@0,,B10
8,939653,横断面形状@12,0,
8,939653,b@1,1.5,
8,939655,面积@1,32.39,
8,939655,体积@1,22.97,
8,939655,顶部偏移@19,0,
8,939655,族与类型@-1,,18"
8,939655,顶部标高@19,,L8
8,939655,标高@19,,L7
8,939655,底部偏移@19,0,
8,939655,随轴网移动@19,1,
8,939655,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939655,启用分析模型@12,1,
8,939655,长度@1,14,
8,939655,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939655,底部标高@19,,L7
8,939655,柱样式@19,0,
8,939655,类型 ID@-1,,18"
8,939655,类型@-1,,18"
8,939655,柱定位标记@19,,F-4
8,939655,族@-1,,18"
8,939655,创建的阶段@14,,New Construction
8,939655,类型名称@0,,18"
8,939655,部件代码@0,,B10
8,939655,横断面形状@12,0,
8,939655,b@1,1.5,
8,939657,顶部标高@19,,L8
8,939657,底部偏移@19,0,
8,939657,柱定位标记@19,,F-3
8,939657,类型 ID@-1,,18"
8,939657,族@-1,,18"
8,939657,启用分析模型@12,1,
8,939657,标高@19,,L7
8,939657,创建的阶段@14,,New Construction
8,939657,底部标高@19,,L7
8,939657,面积@1,32.4,
8,939657,类型@-1,,18"
8,939657,柱样式@19,0,
8,939657,随轴网移动@19,1,
8,939657,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939657,长度@1,14,
8,939657,族与类型@-1,,18"
8,939657,顶部偏移@19,0,
8,939657,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939657,体积@1,22.97,
8,939657,类型名称@0,,18"
8,939657,部件代码@0,,B10
8,939657,横断面形状@12,0,
8,939657,b@1,1.5,
8,939659,创建的阶段@14,,New Construction
8,939659,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939659,随轴网移动@19,1,
8,939659,类型@-1,,18"
8,939659,顶部偏移@19,0,
8,939659,体积@1,22.97,
8,939659,底部标高@19,,L7
8,939659,顶部标高@19,,L8
8,939659,底部偏移@19,0,
8,939659,面积@1,32.4,
8,939659,类型 ID@-1,,18"
8,939659,柱定位标记@19,,F-2
8,939659,启用分析模型@12,1,
8,939659,柱样式@19,0,
8,939659,标高@19,,L7
8,939659,族与类型@-1,,18"
8,939659,长度@1,14,
8,939659,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939659,族@-1,,18"
8,939659,类型名称@0,,18"
8,939659,部件代码@0,,B10
8,939659,横断面形状@12,0,
8,939659,b@1,1.5,
8,939661,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939661,创建的阶段@14,,New Construction
8,939661,底部偏移@19,0,
8,939661,长度@1,14,
8,939661,顶部标高@19,,L8
8,939661,类型@-1,,18"
8,939661,柱定位标记@19,,E-5
8,939661,顶部偏移@19,0,
8,939661,随轴网移动@19,1,
8,939661,族@-1,,18"
8,939661,体积@1,22.97,
8,939661,底部标高@19,,L7
8,939661,启用分析模型@12,1,
8,939661,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939661,面积@1,32.4,
8,939661,类型 ID@-1,,18"
8,939661,族与类型@-1,,18"
8,939661,柱样式@19,0,
8,939661,标高@19,,L7
8,939661,类型名称@0,,18"
8,939661,部件代码@0,,B10
8,939661,横断面形状@12,0,
8,939661,b@1,1.5,
8,939663,底部偏移@19,0,
8,939663,标高@19,,L7
8,939663,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939663,顶部偏移@19,0,
8,939663,底部标高@19,,L7
8,939663,长度@1,14,
8,939663,随轴网移动@19,1,
8,939663,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939663,创建的阶段@14,,New Construction
8,939663,启用分析模型@12,1,
8,939663,族与类型@-1,,18"
8,939663,类型@-1,,18"
8,939663,顶部标高@19,,L8
8,939663,柱定位标记@19,,E-4
8,939663,族@-1,,18"
8,939663,柱样式@19,0,
8,939663,类型 ID@-1,,18"
8,939663,面积@1,32.39,
8,939663,体积@1,22.97,
8,939663,类型名称@0,,18"
8,939663,部件代码@0,,B10
8,939663,横断面形状@12,0,
8,939663,b@1,1.5,
8,939665,长度@1,14,
8,939665,体积@1,22.97,
8,939665,面积@1,32.4,
8,939665,启用分析模型@12,1,
8,939665,标高@19,,L7
8,939665,顶部标高@19,,L8
8,939665,顶部偏移@19,0,
8,939665,类型 ID@-1,,18"
8,939665,底部偏移@19,0,
8,939665,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939665,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939665,柱定位标记@19,,E-3
8,939665,底部标高@19,,L7
8,939665,创建的阶段@14,,New Construction
8,939665,柱样式@19,0,
8,939665,族与类型@-1,,18"
8,939665,类型@-1,,18"
8,939665,随轴网移动@19,1,
8,939665,族@-1,,18"
8,939665,类型名称@0,,18"
8,939665,部件代码@0,,B10
8,939665,横断面形状@12,0,
8,939665,b@1,1.5,
8,939667,顶部标高@19,,L8
8,939667,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939667,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939667,面积@1,32.4,
8,939667,柱样式@19,0,
8,939667,柱定位标记@19,,E-2
8,939667,类型@-1,,18"
8,939667,类型 ID@-1,,18"
8,939667,体积@1,22.97,
8,939667,顶部偏移@19,0,
8,939667,底部标高@19,,L7
8,939667,随轴网移动@19,1,
8,939667,启用分析模型@12,1,
8,939667,族与类型@-1,,18"
8,939667,创建的阶段@14,,New Construction
8,939667,族@-1,,18"
8,939667,底部偏移@19,0,
8,939667,标高@19,,L7
8,939667,长度@1,14,
8,939667,类型名称@0,,18"
8,939667,部件代码@0,,B10
8,939667,横断面形状@12,0,
8,939667,b@1,1.5,
8,939669,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939669,底部偏移@19,0,
8,939669,柱样式@19,0,
8,939669,底部标高@19,,L7
8,939669,面积@1,32.4,
8,939669,顶部标高@19,,L8
8,939669,类型 ID@-1,,18"
8,939669,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939669,类型@-1,,18"
8,939669,启用分析模型@12,1,
8,939669,柱定位标记@19,,D-5
8,939669,长度@1,14,
8,939669,族@-1,,18"
8,939669,创建的阶段@14,,New Construction
8,939669,族与类型@-1,,18"
8,939669,顶部偏移@19,0,
8,939669,标高@19,,L7
8,939669,随轴网移动@19,1,
8,939669,体积@1,22.97,
8,939669,类型名称@0,,18"
8,939669,部件代码@0,,B10
8,939669,横断面形状@12,0,
8,939669,b@1,1.5,
8,939671,族@-1,,18"
8,939671,柱定位标记@19,,D-4
8,939671,底部偏移@19,0,
8,939671,顶部偏移@19,0,
8,939671,随轴网移动@19,1,
8,939671,类型@-1,,18"
8,939671,体积@1,22.97,
8,939671,底部标高@19,,L7
8,939671,创建的阶段@14,,New Construction
8,939671,族与类型@-1,,18"
8,939671,启用分析模型@12,1,
8,939671,长度@1,14,
8,939671,顶部标高@19,,L8
8,939671,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939671,类型 ID@-1,,18"
8,939671,面积@1,32.39,
8,939671,标高@19,,L7
8,939671,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939671,柱样式@19,0,
8,939671,类型名称@0,,18"
8,939671,部件代码@0,,B10
8,939671,横断面形状@12,0,
8,939671,b@1,1.5,
8,939673,顶部偏移@19,0,
8,939673,标高@19,,L7
8,939673,顶部标高@19,,L8
8,939673,面积@1,32.4,
8,939673,族@-1,,18"
8,939673,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939673,类型@-1,,18"
8,939673,长度@1,14,
8,939673,底部偏移@19,0,
8,939673,启用分析模型@12,1,
8,939673,柱定位标记@19,,D-3
8,939673,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939673,底部标高@19,,L7
8,939673,创建的阶段@14,,New Construction
8,939673,随轴网移动@19,1,
8,939673,柱样式@19,0,
8,939673,类型 ID@-1,,18"
8,939673,体积@1,22.97,
8,939673,族与类型@-1,,18"
8,939673,类型名称@0,,18"
8,939673,部件代码@0,,B10
8,939673,横断面形状@12,0,
8,939673,b@1,1.5,
8,939675,顶部偏移@19,0,
8,939675,长度@1,14,
8,939675,顶部标高@19,,L8
8,939675,族与类型@-1,,18"
8,939675,底部偏移@19,0,
8,939675,标高@19,,L7
8,939675,底部标高@19,,L7
8,939675,启用分析模型@12,1,
8,939675,类型@-1,,18"
8,939675,创建的阶段@14,,New Construction
8,939675,族@-1,,18"
8,939675,柱定位标记@19,,D-2
8,939675,面积@1,32.4,
8,939675,柱样式@19,0,
8,939675,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939675,随轴网移动@19,1,
8,939675,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939675,类型 ID@-1,,18"
8,939675,体积@1,22.97,
8,939675,类型名称@0,,18"
8,939675,部件代码@0,,B10
8,939675,横断面形状@12,0,
8,939675,b@1,1.5,
8,939677,柱定位标记@19,,C-5
8,939677,底部标高@19,,L7
8,939677,长度@1,14,
8,939677,类型 ID@-1,,18"
8,939677,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939677,创建的阶段@14,,New Construction
8,939677,顶部偏移@19,0,
8,939677,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939677,启用分析模型@12,1,
8,939677,随轴网移动@19,1,
8,939677,类型@-1,,18"
8,939677,标高@19,,L7
8,939677,族与类型@-1,,18"
8,939677,柱样式@19,0,
8,939677,底部偏移@19,0,
8,939677,族@-1,,18"
8,939677,顶部标高@19,,L8
8,939677,体积@1,22.97,
8,939677,面积@1,32.4,
8,939677,类型名称@0,,18"
8,939677,部件代码@0,,B10
8,939677,横断面形状@12,0,
8,939677,b@1,1.5,
8,939679,顶部偏移@19,0,
8,939679,柱定位标记@19,,C-4
8,939679,随轴网移动@19,1,
8,939679,长度@1,14,
8,939679,柱样式@19,0,
8,939679,顶部标高@19,,L8
8,939679,族与类型@-1,,18"
8,939679,标高@19,,L7
8,939679,类型 ID@-1,,18"
8,939679,启用分析模型@12,1,
8,939679,底部标高@19,,L7
8,939679,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939679,面积@1,32.39,
8,939679,底部偏移@19,0,
8,939679,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939679,体积@1,22.97,
8,939679,族@-1,,18"
8,939679,类型@-1,,18"
8,939679,创建的阶段@14,,New Construction
8,939679,类型名称@0,,18"
8,939679,部件代码@0,,B10
8,939679,横断面形状@12,0,
8,939679,b@1,1.5,
8,939681,长度@1,14,
8,939681,柱定位标记@19,,C-3
8,939681,柱样式@19,0,
8,939681,族@-1,,18"
8,939681,标高@19,,L7
8,939681,顶部偏移@19,0,
8,939681,随轴网移动@19,1,
8,939681,启用分析模型@12,1,
8,939681,底部偏移@19,0,
8,939681,体积@1,22.97,
8,939681,顶部标高@19,,L8
8,939681,族与类型@-1,,18"
8,939681,面积@1,32.4,
8,939681,创建的阶段@14,,New Construction
8,939681,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939681,类型 ID@-1,,18"
8,939681,类型@-1,,18"
8,939681,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939681,底部标高@19,,L7
8,939681,类型名称@0,,18"
8,939681,部件代码@0,,B10
8,939681,横断面形状@12,0,
8,939681,b@1,1.5,
8,939683,随轴网移动@19,1,
8,939683,族与类型@-1,,18"
8,939683,创建的阶段@14,,New Construction
8,939683,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939683,启用分析模型@12,1,
8,939683,族@-1,,18"
8,939683,顶部偏移@19,0,
8,939683,底部标高@19,,L7
